time,watts,cadence,distance,velocity_smooth,torque,left_right_balance,heartrate,temp
0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,
1.0,21.0,,1.56,3.784,,101.0,102.0,
3.0,30.0,35.0,9.44,4.033,8.0,101.0,101.0,27.0
5.0,41.0,39.0,18.1,4.446,10.0,101.0,99.0,27.0
7.0,38.0,43.0,25.27,4.931,8.0,101.0,97.0,27.0
8.0,52.0,46.0,32.9,5.364,11.0,101.0,96.0,27.0
9.0,47.0,49.0,38.8,5.487,9.0,101.0,95.0,27.0
11.0,40.0,49.0,49.28,5.505,8.0,101.0,95.0,27.0
12.0,40.0,49.0,55.04,5.309,8.0,101.0,95.0,27.0
14.0,47.0,43.0,65.23,5.027,10.0,101.0,96.0,27.0
17.0,52.0,49.0,81.69,5.854,10.0,101.0,97.0,27.0
19.0,80.0,54.0,94.05,6.298,14.0,101.0,98.0,27.0
21.0,79.0,59.0,103.92,6.843,13.0,101.0,98.0,27.0
22.0,77.0,61.0,114.13,6.895,12.0,101.0,99.0,27.0
24.0,80.0,60.0,128.8,6.792,13.0,101.0,100.0,27.0
26.0,72.0,60.0,138.03,6.82,11.0,101.0,101.0,27.0
27.0,77.0,59.0,148.12,6.816,12.0,101.0,102.0,27.0
29.0,76.0,60.0,161.86,6.76,12.0,101.0,103.0,27.0
31.0,76.0,60.0,174.83,6.865,12.0,101.0,103.0,27.0
32.0,76.0,60.0,182.25,6.865,12.0,101.0,104.0,27.0
34.0,77.0,59.0,196.03,6.777,12.0,101.0,104.0,27.0
36.0,77.0,58.0,208.78,6.76,13.0,101.0,104.0,27.0
38.0,77.0,60.0,222.48,6.767,12.0,101.0,104.0,27.0
39.0,76.0,59.0,230.69,6.781,12.0,101.0,104.0,27.0
41.0,78.0,60.0,243.59,6.851,12.0,101.0,104.0,27.0
43.0,69.0,60.0,256.56,6.813,11.0,101.0,105.0,27.0
45.0,75.0,59.0,271.1,6.682,12.0,101.0,105.0,27.0
47.0,77.0,60.0,283.89,6.827,12.0,101.0,106.0,27.0
49.0,82.0,61.0,295.04,6.906,13.0,101.0,106.0,27.0
50.0,89.0,61.0,304.35,6.971,14.0,101.0,107.0,27.0
51.0,82.0,61.0,311.97,7.028,13.0,101.0,108.0,27.0
53.0,76.0,61.0,325.19,6.94,12.0,101.0,109.0,27.0
54.0,74.0,61.0,332.67,6.862,12.0,101.0,111.0,27.0
56.0,83.0,61.0,346.37,6.831,13.0,101.0,115.0,27.0
58.0,82.0,62.0,360.37,7.011,13.0,101.0,117.0,27.0
60.0,80.0,61.0,373.6,6.981,13.0,101.0,118.0,27.0
61.0,75.0,60.0,381.09,6.899,12.0,101.0,118.0,27.0
63.0,84.0,62.0,394.29,7.028,13.0,101.0,119.0,27.0
64.0,75.0,62.0,401.89,6.994,12.0,101.0,119.0,27.0
66.0,59.0,61.0,415.71,6.674,9.0,101.0,119.0,27.0
68.0,64.0,57.0,428.86,6.444,11.0,101.0,117.0,27.0
70.0,65.0,56.0,441.14,6.506,11.0,101.0,117.0,27.0
128.0,70.0,13.0,446.9,4.886,51.0,101.0,113.0,27.0
130.0,16.0,25.0,454.89,5.559,6.0,101.0,113.0,27.0
132.0,47.0,34.0,465.12,4.807,13.0,101.0,116.0,27.0
133.0,50.0,40.0,472.73,5.304,12.0,101.0,116.0,26.0
135.0,48.0,50.0,484.38,5.775,9.0,101.0,114.0,27.0
138.0,63.0,55.0,498.86,6.142,11.0,101.0,114.0,27.0
139.0,71.0,57.0,505.67,6.401,12.0,101.0,114.0,26.0
141.0,73.0,56.0,518.73,6.525,12.0,101.0,114.0,27.0
143.0,49.0,55.0,531.51,6.666,9.0,101.0,114.0,26.0
144.0,52.0,51.0,538.56,6.483,10.0,101.0,115.0,27.0
146.0,45.0,48.0,550.77,5.63,9.0,101.0,115.0,27.0
148.0,48.0,44.0,561.22,5.497,10.0,101.0,115.0,27.0
150.0,49.0,43.0,572.47,5.589,11.0,101.0,116.0,26.0
151.0,46.0,44.0,578.53,5.619,10.0,101.0,116.0,26.0
153.0,41.0,43.0,588.98,5.445,9.0,101.0,118.0,26.0
154.0,37.0,40.0,594.78,5.265,9.0,101.0,118.0,27.0
156.0,36.0,38.0,605.09,4.981,9.0,101.0,119.0,26.0
158.0,34.0,37.0,614.42,4.886,9.0,101.0,119.0,27.0
159.0,36.0,36.0,619.67,4.886,10.0,101.0,119.0,26.0
161.0,59.0,46.0,630.28,5.828,12.0,101.0,119.0,27.0
163.0,64.0,51.0,641.8,6.319,12.0,101.0,116.0,26.0
164.0,67.0,54.0,648.65,6.319,12.0,101.0,115.0,26.0
166.0,66.0,58.0,661.37,6.304,11.0,101.0,114.0,27.0
168.0,66.0,56.0,674.05,6.331,11.0,101.0,113.0,27.0
170.0,89.0,60.0,686.51,6.706,14.0,101.0,113.0,27.0
171.0,69.0,61.0,693.88,6.851,11.0,101.0,113.0,27.0
173.0,79.0,60.0,707.75,6.773,13.0,101.0,114.0,27.0
175.0,75.0,61.0,720.63,6.823,12.0,101.0,115.0,26.0
177.0,70.0,61.0,734.51,6.813,11.0,101.0,116.0,27.0
179.0,87.0,61.0,748.34,6.917,14.0,101.0,117.0,27.0
181.0,89.0,62.0,762.55,7.126,14.0,101.0,117.0,27.0
183.0,91.0,62.0,777.0,7.127,14.0,101.0,118.0,26.0
185.0,86.0,62.0,790.4,7.14,13.0,101.0,118.0,27.0
186.0,88.0,63.0,799.16,7.184,13.0,101.0,118.0,26.0
188.0,86.0,63.0,812.74,7.184,13.0,101.0,118.0,26.0
190.0,83.0,63.0,826.28,7.161,13.0,101.0,118.0,27.0
191.0,79.0,63.0,834.01,7.1,12.0,101.0,118.0,26.0
193.0,76.0,63.0,848.23,6.979,12.0,101.0,118.0,27.0
195.0,85.0,62.0,862.41,7.05,13.0,101.0,119.0,27.0
197.0,79.0,62.0,875.88,7.129,12.0,101.0,118.0,27.0
198.0,79.0,61.0,883.48,7.077,12.0,101.0,118.0,27.0
199.0,90.0,63.0,893.96,7.028,14.0,101.0,118.0,26.0
202.0,89.0,63.0,911.28,7.161,13.0,101.0,117.0,26.0
203.0,77.0,64.0,918.97,7.067,11.0,101.0,117.0,26.0
205.0,84.0,62.0,933.06,6.877,13.0,101.0,117.0,27.0
207.0,83.0,63.0,946.38,7.077,13.0,101.0,116.0,27.0
208.0,85.0,64.0,954.08,7.132,13.0,101.0,116.0,26.0
210.0,89.0,63.0,968.61,7.127,13.0,101.0,115.0,27.0
212.0,85.0,63.0,982.06,7.097,13.0,101.0,115.0,26.0
213.0,83.0,63.0,989.65,7.09,13.0,101.0,114.0,26.0
215.0,90.0,65.0,1005.12,7.187,13.0,101.0,114.0,26.0
216.0,91.0,65.0,1014.85,7.257,13.0,101.0,113.0,26.0
218.0,93.0,66.0,1025.7,7.286,13.0,101.0,113.0,26.0
220.0,89.0,64.0,1041.26,7.171,13.0,101.0,112.0,27.0
222.0,81.0,65.0,1054.96,7.24,12.0,101.0,112.0,26.0
224.0,92.0,66.0,1068.7,7.279,13.0,101.0,113.0,27.0
225.0,99.0,67.0,1077.57,7.402,14.0,101.0,113.0,26.0
227.0,72.0,70.0,1091.77,7.405,10.0,101.0,115.0,26.0
229.0,88.0,67.0,1105.54,7.222,13.0,101.0,116.0,26.0
230.0,95.0,65.0,1114.27,7.23,14.0,101.0,116.0,27.0
232.0,84.0,67.0,1128.25,7.583,12.0,101.0,117.0,26.0
234.0,90.0,65.0,1142.39,7.447,13.0,101.0,119.0,26.0
235.0,94.0,66.0,1153.11,7.235,14.0,101.0,119.0,26.0
237.0,95.0,67.0,1164.99,7.358,14.0,101.0,119.0,26.0
239.0,99.0,67.0,1178.97,7.441,14.0,101.0,119.0,27.0
240.0,93.0,67.0,1188.01,7.443,13.0,101.0,119.0,26.0
242.0,87.0,67.0,1205.02,7.319,12.0,101.0,118.0,26.0
244.0,92.0,66.0,1219.63,7.25,13.0,101.0,118.0,26.0
246.0,92.0,66.0,1230.5,7.322,13.0,101.0,118.0,26.0
247.0,92.0,66.0,1241.48,7.393,13.0,101.0,118.0,26.0
249.0,92.0,66.0,1256.42,7.374,13.0,101.0,118.0,26.0
250.0,89.0,66.0,1264.33,7.321,13.0,101.0,119.0,26.0
252.0,104.0,66.0,1278.24,7.411,15.0,101.0,118.0,27.0
254.0,92.0,65.0,1290.27,7.456,14.0,101.0,118.0,26.0
256.0,84.0,66.0,1304.29,7.303,12.0,101.0,118.0,27.0
257.0,97.0,66.0,1315.08,7.288,14.0,101.0,119.0,27.0
258.0,88.0,65.0,1322.96,7.297,13.0,101.0,119.0,26.0
260.0,124.0,66.0,1333.83,7.444,18.0,101.0,117.0,26.0
262.0,102.0,67.0,1349.32,7.678,15.0,101.0,113.0,26.0
263.0,71.0,66.0,1360.76,7.423,10.0,101.0,112.0,26.0
265.0,91.0,65.0,1375.32,7.142,13.0,101.0,112.0,26.0
267.0,91.0,65.0,1386.11,7.297,13.0,101.0,111.0,26.0
268.0,82.0,64.0,1396.81,7.126,12.0,101.0,111.0,26.0
270.0,83.0,64.0,1407.31,7.024,12.0,101.0,110.0,26.0
272.0,88.0,64.0,1425.42,7.19,13.0,101.0,110.0,26.0
274.0,83.0,64.0,1439.14,7.269,12.0,101.0,109.0,26.0
275.0,89.0,64.0,1446.94,7.201,13.0,101.0,109.0,26.0
277.0,100.0,67.0,1461.84,7.538,14.0,101.0,110.0,26.0
279.0,92.0,66.0,1476.2,7.586,13.0,101.0,112.0,26.0
280.0,94.0,65.0,1484.15,7.402,14.0,101.0,112.0,26.0
281.0,90.0,64.0,1492.11,7.344,13.0,101.0,113.0,26.0
283.0,102.0,64.0,1505.98,7.368,15.0,101.0,114.0,26.0
285.0,105.0,64.0,1520.97,7.396,16.0,101.0,115.0,26.0
286.0,105.0,65.0,1529.01,7.499,15.0,101.0,116.0,26.0
288.0,95.0,64.0,1543.06,7.257,14.0,101.0,116.0,26.0
289.0,86.0,64.0,1550.82,7.094,13.0,101.0,116.0,26.0
291.0,88.0,63.0,1565.29,7.22,13.0,101.0,116.0,26.0
293.0,89.0,65.0,1574.99,7.228,13.0,101.0,116.0,26.0
294.0,92.0,65.0,1582.81,7.239,14.0,101.0,116.0,26.0
295.0,90.0,65.0,1593.6,7.26,13.0,101.0,116.0,26.0
297.0,88.0,65.0,1608.28,7.161,13.0,101.0,117.0,26.0
299.0,89.0,64.0,1622.77,7.163,13.0,101.0,117.0,26.0
301.0,89.0,64.0,1636.34,7.225,13.0,101.0,117.0,26.0
302.0,90.0,64.0,1644.14,7.224,13.0,101.0,117.0,26.0
304.0,82.0,63.0,1658.71,7.127,12.0,101.0,118.0,26.0
306.0,94.0,64.0,1672.23,7.168,14.0,101.0,119.0,26.0
307.0,91.0,64.0,1679.96,7.222,14.0,101.0,119.0,26.0
309.0,87.0,64.0,1694.79,7.31,13.0,101.0,121.0,26.0
311.0,91.0,65.0,1708.59,7.29,13.0,101.0,121.0,26.0
313.0,90.0,64.0,1723.26,7.263,13.0,101.0,122.0,26.0
314.0,94.0,65.0,1731.12,7.255,14.0,101.0,121.0,26.0
316.0,88.0,64.0,1745.84,7.261,13.0,101.0,119.0,26.0
318.0,84.0,64.0,1759.39,7.1,13.0,101.0,119.0,26.0
319.0,84.0,64.0,1767.02,7.061,13.0,101.0,120.0,26.0
321.0,89.0,63.0,1781.22,7.025,13.0,101.0,120.0,26.0
323.0,92.0,64.0,1794.53,7.07,14.0,101.0,120.0,26.0
324.0,85.0,64.0,1802.23,7.168,13.0,101.0,120.0,26.0
325.0,82.0,64.0,1810.07,7.173,12.0,101.0,120.0,26.0
327.0,81.0,64.0,1819.65,7.077,12.0,101.0,120.0,26.0
328.0,87.0,64.0,1830.13,7.122,13.0,101.0,120.0,26.0
329.0,78.0,64.0,1837.87,7.136,12.0,101.0,120.0,26.0
331.0,85.0,65.0,1852.43,7.202,12.0,101.0,119.0,26.0
333.0,85.0,64.0,1866.01,7.207,13.0,101.0,119.0,26.0
334.0,96.0,64.0,1873.8,7.177,14.0,101.0,119.0,26.0
336.0,94.0,64.0,1888.56,7.341,14.0,101.0,119.0,26.0
338.0,85.0,64.0,1899.44,7.275,13.0,101.0,120.0,26.0
339.0,83.0,63.0,1910.12,7.139,13.0,101.0,120.0,26.0
341.0,80.0,63.0,1924.45,7.018,12.0,101.0,120.0,26.0
343.0,91.0,64.0,1937.9,7.174,14.0,101.0,121.0,26.0
344.0,91.0,64.0,1945.67,7.269,14.0,101.0,121.0,26.0
346.0,103.0,64.0,1960.44,7.341,15.0,101.0,120.0,26.0
348.0,93.0,65.0,1974.5,7.456,14.0,101.0,120.0,26.0
349.0,101.0,65.0,1982.64,7.539,15.0,101.0,120.0,26.0
351.0,94.0,65.0,1997.71,7.412,14.0,101.0,122.0,26.0
353.0,82.0,64.0,2012.61,7.247,12.0,101.0,124.0,26.0
354.0,82.0,64.0,2020.39,7.136,12.0,101.0,125.0,26.0
356.0,103.0,64.0,2033.87,7.2,15.0,101.0,126.0,26.0
358.0,68.0,69.0,2049.15,7.644,9.0,101.0,127.0,26.0
359.0,78.0,66.0,2057.34,7.445,11.0,101.0,127.0,26.0
361.0,88.0,63.0,2071.93,6.988,13.0,101.0,127.0,26.0
363.0,90.0,63.0,2085.58,7.271,14.0,101.0,127.0,26.0
365.0,93.0,62.0,2099.29,7.337,14.0,101.0,127.0,26.0
366.0,82.0,62.0,2107.22,7.259,13.0,101.0,126.0,26.0
368.0,89.0,63.0,2121.93,7.239,13.0,101.0,122.0,26.0
370.0,88.0,63.0,2135.79,7.337,13.0,101.0,118.0,26.0
371.0,59.0,65.0,2143.79,7.417,9.0,101.0,117.0,26.0
374.0,86.0,64.0,2161.3,7.097,13.0,101.0,112.0,26.0
375.0,78.0,63.0,2171.5,6.944,12.0,101.0,111.0,26.0
376.0,83.0,63.0,2179.04,6.984,13.0,101.0,110.0,26.0
379.0,79.0,63.0,2195.89,6.94,12.0,101.0,112.0,26.0
381.0,86.0,65.0,2210.14,7.103,13.0,101.0,115.0,26.0
383.0,85.0,63.0,2224.72,7.184,13.0,101.0,118.0,26.0
384.0,88.0,63.0,2235.21,7.113,13.0,101.0,119.0,26.0
386.0,86.0,63.0,2245.81,7.149,13.0,101.0,121.0,26.0
388.0,84.0,63.0,2260.32,7.155,13.0,101.0,122.0,26.0
390.0,96.0,62.0,2274.72,7.126,15.0,101.0,124.0,26.0
391.0,88.0,63.0,2285.35,7.145,13.0,101.0,124.0,26.0
393.0,85.0,63.0,2296.03,7.216,13.0,101.0,125.0,26.0
395.0,75.0,62.0,2310.49,7.07,12.0,101.0,125.0,26.0
397.0,86.0,62.0,2324.9,7.129,13.0,101.0,126.0,26.0
398.0,89.0,63.0,2335.58,7.206,13.0,101.0,125.0,26.0
400.0,80.0,62.0,2346.14,7.09,12.0,101.0,125.0,26.0
402.0,77.0,61.0,2360.28,6.92,12.0,101.0,124.0,26.0
404.0,80.0,60.0,2374.27,6.912,13.0,101.0,124.0,26.0
406.0,90.0,61.0,2387.41,7.041,14.0,101.0,124.0,26.0
408.0,78.0,62.0,2401.77,7.07,12.0,101.0,123.0,26.0
410.0,83.0,62.0,2416.16,7.08,13.0,101.0,123.0,26.0
412.0,91.0,62.0,2430.57,7.13,14.0,101.0,122.0,26.0
413.0,87.0,63.0,2441.2,7.165,13.0,101.0,123.0,26.0
415.0,85.0,63.0,2451.87,7.187,13.0,101.0,122.0,26.0
417.0,162.0,65.0,2466.47,7.658,24.0,101.0,122.0,26.0
418.0,94.0,68.0,2478.12,7.802,13.0,101.0,122.0,26.0
420.0,91.0,66.0,2490.73,7.442,13.0,101.0,122.0,26.0
422.0,99.0,65.0,2504.62,7.359,15.0,101.0,121.0,26.0
425.0,84.0,65.0,2526.39,7.177,12.0,101.0,120.0,26.0
426.0,93.0,64.0,2534.11,7.17,14.0,101.0,121.0,26.0
428.0,94.0,63.0,2547.47,7.014,14.0,101.0,121.0,26.0
430.0,91.0,64.0,2561.9,7.142,14.0,101.0,120.0,26.0
431.0,88.0,64.0,2569.7,7.244,13.0,101.0,118.0,26.0
433.0,92.0,63.0,2583.4,7.226,14.0,101.0,117.0,26.0
434.0,83.0,63.0,2592.07,7.148,13.0,101.0,117.0,26.0
436.0,95.0,62.0,2605.48,7.119,15.0,101.0,116.0,26.0
438.0,89.0,64.0,2619.11,7.216,13.0,101.0,116.0,26.0
439.0,86.0,64.0,2626.93,7.206,13.0,101.0,116.0,26.0
441.0,89.0,65.0,2641.4,7.127,13.0,101.0,116.0,26.0
443.0,88.0,64.0,2654.92,7.145,13.0,101.0,119.0,26.0
444.0,84.0,64.0,2662.66,7.158,13.0,101.0,119.0,26.0
446.0,77.0,63.0,2677.09,7.069,12.0,101.0,118.0,26.0
447.0,87.0,62.0,2684.65,7.036,13.0,101.0,117.0,26.0
449.0,83.0,63.0,2698.03,7.1,13.0,101.0,117.0,26.0
451.0,90.0,65.0,2712.63,7.18,13.0,101.0,121.0,26.0
453.0,74.0,65.0,2727.24,7.127,11.0,101.0,124.0,26.0
455.0,86.0,64.0,2740.68,7.09,13.0,101.0,126.0,26.0
456.0,86.0,64.0,2749.38,7.18,13.0,101.0,127.0,26.0
458.0,104.0,63.0,2762.61,7.004,16.0,101.0,128.0,26.0
460.0,88.0,65.0,2777.36,7.385,13.0,101.0,128.0,26.0
462.0,90.0,64.0,2791.24,7.244,13.0,101.0,127.0,26.0
463.0,89.0,65.0,2799.05,7.219,13.0,101.0,127.0,26.0
464.0,91.0,64.0,2810.61,7.083,14.0,101.0,126.0,26.0
466.0,87.0,64.0,2820.16,7.087,13.0,101.0,126.0,26.0
467.0,90.0,64.0,2830.7,7.161,13.0,101.0,126.0,26.0
469.0,99.0,65.0,2842.42,7.31,15.0,101.0,125.0,26.0
471.0,91.0,64.0,2856.25,7.303,14.0,101.0,124.0,26.0
473.0,85.0,63.0,2870.94,7.23,13.0,101.0,123.0,26.0
475.0,83.0,62.0,2885.49,7.116,13.0,101.0,123.0,26.0
477.0,90.0,63.0,2899.01,7.239,14.0,101.0,122.0,26.0
478.0,89.0,63.0,2906.9,7.285,13.0,101.0,122.0,26.0
480.0,93.0,63.0,2921.62,7.23,14.0,101.0,122.0,26.0
482.0,89.0,64.0,2935.28,7.253,13.0,101.0,122.0,26.0
483.0,82.0,64.0,2943.09,7.193,12.0,101.0,122.0,26.0
485.0,81.0,62.0,2957.37,6.903,12.0,101.0,122.0,26.0
487.0,89.0,63.0,2971.54,7.083,13.0,101.0,121.0,26.0
489.0,83.0,63.0,2985.01,7.119,13.0,101.0,121.0,26.0
490.0,69.0,65.0,2993.04,7.504,10.0,101.0,120.0,26.0
492.0,79.0,64.0,3009.2,7.499,12.0,101.0,120.0,26.0
494.0,83.0,63.0,3021.75,7.064,13.0,101.0,119.0,26.0
495.0,93.0,62.0,3029.45,7.103,14.0,101.0,119.0,26.0
497.0,88.0,62.0,3044.99,7.237,14.0,101.0,120.0,26.0
499.0,92.0,61.0,3057.69,7.197,14.0,101.0,119.0,26.0
500.0,85.0,61.0,3065.44,7.165,13.0,101.0,119.0,26.0
502.0,83.0,61.0,3080.04,7.209,13.0,101.0,118.0,26.0
504.0,103.0,63.0,3093.81,7.42,16.0,101.0,116.0,26.0
505.0,131.0,63.0,3104.78,7.477,20.0,101.0,115.0,26.0
506.0,63.0,65.0,3113.03,7.571,9.0,101.0,114.0,26.0
508.0,79.0,64.0,3123.97,7.297,12.0,101.0,113.0,26.0
510.0,87.0,64.0,3138.37,6.984,13.0,101.0,112.0,26.0
511.0,94.0,64.0,3146.08,7.152,14.0,101.0,109.0,26.0
512.0,85.0,63.0,3155.77,7.193,13.0,101.0,110.0,26.0
514.0,90.0,64.0,3166.52,7.273,13.0,101.0,112.0,26.0
515.0,97.0,64.0,3174.39,7.303,14.0,101.0,112.0,26.0
